IP,Session_ID,Time,Student_ID,Subject,Date,Issue raised,Raised by (Student /Proctor),Time spent by proctor(minutes),time spent by student(minutes),Issue resolved or not,Camera visibility,Total session time,ADS
10.131.1.154,234768A8976N1165,2020-10-18 10:01:13,2019mc22005,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),0,Null,2020-10-18 00:00:00,2020-10-18 00:00:00,null,2020-10-18 01:57:38,2020-10-18 01:57:38,25
10.131.1.211,234768A8976N1102,2020-10-18 10:01:52,2019mc22004,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),8,Proctor,2020-10-18 00:01:37,2020-10-18 00:00:06,Y,2020-10-18 01:55:45,2020-10-18 01:55:45,22
10.131.1.41,234768A8976N1039,2020-10-18 10:01:53,2019mc22003,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),0,Null,2020-10-18 00:00:00,2020-10-18 00:00:00,null,2020-10-18 02:00:00,2020-10-18 02:00:00,21
10.131.1.99,234456GA8976N120,2020-10-18 10:01:33,2019mc22002,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),6,Proctor,2020-10-18 00:02:05,2020-10-18 00:03:04,Y,2020-10-18 01:44:08,2020-10-18 01:58:40,22
10.131.1.147,234768A8976N1173,2020-10-18 10:01:37,2019mc21997,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),6,Proctor,2020-10-18 00:03:38,2020-10-18 00:03:55,Y,2020-10-18 01:47:35,2020-10-18 01:56:37,22
10.131.1.204,234768A8976N1110,2020-10-18 10:01:15,2019mc21996,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),6,Proctor,2020-10-18 00:04:24,2020-10-18 00:03:38,Y,2020-10-18 01:40:33,2020-10-18 01:58:39,24
10.131.1.33,234768A8976N1047,2020-10-18 10:01:50,2019mc21995,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),5,Student,2020-10-18 00:00:05,2020-10-18 00:01:27,Y,2020-10-18 01:57:57,2020-10-18 01:57:57,24
10.131.1.91,234456GA8976N128,2020-10-18 10:01:04,2019mc21994,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),6,Proctor,2020-10-18 00:04:36,2020-10-18 00:00:18,Y,2020-10-18 01:44:53,2020-10-18 01:59:37,22
10.131.1.231,234768A8976N1080,2020-10-18 14:00:27,2019mc21962,FINITE ELEMENT METHODS,18-10-2020 (AN),1,Student,2020-10-18 00:04:04,2020-10-18 00:00:49,Y,2020-10-18 01:54:01,2020-10-18 01:56:17,23
10.113.2.222,234768A8976N1080,2020-10-18 14:00:27,2019mc21962,FINITE ELEMENT METHODS,18-10-2020 (AN),1,Student,2020-10-18 00:04:04,2020-10-18 00:00:49,Y,2020-10-18 01:54:01,2020-10-18 01:56:17,23
